price,location,furnishingLevel,bedrooms,bathrooms,parking
155000,Cheras,Partly Furnished,3,2,1
155000,Cheras,Partly Furnished,3,2,1
155000,Kuchai Lama,Unfurnished,2,1,1
155000,Kuchai Lama,Unfurnished,2,1,1
159000,Kepong,Partly Furnished,3,2,1
159000,Kepong,Partly Furnished,3,2,1
160000,Cheras,Unfurnished,2,1,1
160000,Cheras,Unfurnished,2,1,1
160000,Kepong,Unfurnished,3,2,1
160000,Kepong,Unfurnished,3,2,1
160000,Sungai Besi,Partly Furnished,3,2,1
160000,Sungai Besi,Partly Furnished,3,2,1
163000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
163000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
165000,Batu Caves,Unfurnished,3,2,1
165000,Batu Caves,Unfurnished,3,2,1
168000,Batu Caves,Partly Furnished,3,2,1
168000,Batu Caves,Partly Furnished,3,2,1
168000,Batu Caves,Partly Furnished,3,2,1
168000,Batu Caves,Partly Furnished,3,2,1
168000,Batu Caves,Unfurnished,3,2,1
168000,Batu Caves,Unfurnished,3,2,1
168000,Segambut,Partly Furnished,3,2,1
168000,Segambut,Partly Furnished,3,2,1
170000,Bandar Tasik Selatan,Partly Furnished,2,1,1
170000,Bandar Tasik Selatan,Partly Furnished,2,1,1
170000,Kepong,Partly Furnished,3,2,1
170000,Kepong,Partly Furnished,3,2,1
175000,Batu Caves,Unfurnished,3,2,1
175000,Batu Caves,Unfurnished,3,2,1
175000,Segambut,Unfurnished,2,2,1
175000,Segambut,Unfurnished,2,2,1
178000,Setapak,Unfurnished,2,1,1
178000,Setapak,Unfurnished,2,1,1
180000,Ampang,Unfurnished,3,2,1
180000,Ampang,Unfurnished,3,2,1
180000,Cheras,Partly Furnished,3,2,1
180000,Cheras,Partly Furnished,3,2,1
180000,Cheras,Unfurnished,3,2,1
180000,Cheras,Unfurnished,3,2,1
180000,Desa Petaling,Unfurnished,3,2,1
180000,Desa Petaling,Unfurnished,3,2,1
180000,Jalan Klang Lama (Old Klang Road),Unfurnished,3,2,1
180000,Jalan Klang Lama (Old Klang Road),Unfurnished,3,2,1
180000,Kepong,Partly Furnished,3,2,1
180000,Kepong,Partly Furnished,3,2,1
180000,Kepong,Partly Furnished,3,2,1
180000,Kepong,Partly Furnished,3,2,1
180000,Kepong,Unfurnished,3,1,1
180000,Kepong,Unfurnished,3,1,1
180000,Segambut,Partly Furnished,3,2,1
180000,Segambut,Partly Furnished,3,2,1
180000,Wangsa Maju,Partly Furnished,2,1,1
180000,Wangsa Maju,Partly Furnished,2,1,1
182000,Segambut,Partly Furnished,3,2,1
182000,Segambut,Partly Furnished,3,2,1
185000,Kepong,Fully Furnished,3,2,1
185000,Kepong,Fully Furnished,3,2,1
185000,Segambut,Partly Furnished,3,2,1
185000,Segambut,Partly Furnished,3,2,1
188000,Kepong,Unfurnished,3,2,1
188000,Kepong,Unfurnished,3,2,1
188000,Segambut,Partly Furnished,3,2,1
188000,Segambut,Partly Furnished,3,2,1
190000,Cheras,Partly Furnished,3,2,1
190000,Cheras,Partly Furnished,3,2,1
190000,Kepong,Unfurnished,3,2,1
190000,Kepong,Unfurnished,3,2,1
190000,Segambut,Partly Furnished,3,2,1
190000,Segambut,Partly Furnished,3,2,1
190000,Setapak,Unfurnished,3,1,1
190000,Setapak,Unfurnished,3,1,1
190350,Jalan Klang Lama (Old Klang Road),Unfurnished,3,2,1
190350,Jalan Klang Lama (Old Klang Road),Unfurnished,3,2,1
195000,Cheras,Partly Furnished,3,2,1
195000,Cheras,Partly Furnished,3,2,1
195000,Kepong,Partly Furnished,3,2,1
195000,Kepong,Partly Furnished,3,2,1
195000,Kepong,Unfurnished,3,2,1
195000,Kepong,Unfurnished,3,2,1
195000,Kepong,Unfurnished,3,2,1
195000,Kepong,Unfurnished,3,2,1
195000,Setapak,Unfurnished,3,1,1
195000,Setapak,Unfurnished,3,1,1
195000,Wangsa Maju,Unfurnished,2,1,1
195000,Wangsa Maju,Unfurnished,2,1,1
198000,Kuchai Lama,Unfurnished,3,2,1
198000,Kuchai Lama,Unfurnished,3,2,1
198000,Salak Selatan,Partly Furnished,3,1,1
198000,Salak Selatan,Partly Furnished,3,1,1
199000,Batu Caves,Unfurnished,3,2,1
199000,Batu Caves,Unfurnished,3,2,1
199000,Segambut,Unknown,3,2,1
199000,Segambut,Unknown,3,2,1
199000,Wangsa Maju,Partly Furnished,2,1,1
199000,Wangsa Maju,Partly Furnished,2,1,1
200000,Batu Caves,Partly Furnished,3,2,1
200000,Batu Caves,Partly Furnished,3,2,1
200000,Batu Caves,Unfurnished,3,2,1
200000,Batu Caves,Unfurnished,3,2,1
200000,Cheras,Partly Furnished,3,2,1
200000,Cheras,Partly Furnished,3,2,1
200000,Kepong,Unfurnished,3,1,1
200000,Kepong,Unfurnished,3,1,1
200000,Setapak,Unfurnished,2,1,1
200000,Setapak,Unfurnished,2,1,1
200000,Setapak,Unfurnished,2,1,1
200000,Setapak,Unfurnished,2,1,1
200000,Wangsa Maju,Partly Furnished,2,1,1
200000,Wangsa Maju,Partly Furnished,2,1,1
200000,Wangsa Maju,Unfurnished,2,1,1
200000,Wangsa Maju,Unfurnished,2,1,1
205000,Pantai,Unfurnished,3,1,1
205000,Pantai,Unfurnished,3,1,1
205000,Segambut,Partly Furnished,3,2,1
205000,Segambut,Partly Furnished,3,2,1
208000,Batu Caves,Partly Furnished,3,2,1
208000,Batu Caves,Partly Furnished,3,2,1
208000,Bukit Jalil,Unfurnished,3,1,1
208000,Bukit Jalil,Unfurnished,3,1,1
208000,Cheras,Partly Furnished,2,1,1
208000,Cheras,Partly Furnished,2,1,1
208000,Kepong,Unfurnished,2,1,1
208000,Segambut,Partly Furnished,3,2,1
208000,Segambut,Partly Furnished,3,2,1
208000,Segambut,Partly Furnished,3,2,1
208000,Segambut,Partly Furnished,3,2,1
210000,Batu Caves,Fully Furnished,3,2,1
210000,Batu Caves,Fully Furnished,3,2,1
210000,Jinjang,Unknown,3,2,1
210000,Jinjang,Unknown,3,2,1
210000,Kepong,Partly Furnished,2,1,1
210000,Kepong,Partly Furnished,2,1,1
210000,Kepong,Unknown,3,2,1
210000,Kepong,Unknown,3,2,1
210000,Setapak,Unfurnished,3,1,1
210000,Setapak,Unfurnished,3,1,1
210000,Wangsa Maju,Partly Furnished,2,1,1
210000,Wangsa Maju,Partly Furnished,2,1,1
215000,Batu Caves,Unfurnished,3,2,1
215000,Batu Caves,Unfurnished,3,2,1
218000,Cheras,Unfurnished,3,2,1
218000,Cheras,Unfurnished,3,2,1
218000,Kepong,Partly Furnished,3,2,1
218000,Kepong,Partly Furnished,3,2,1
218000,Segambut,Partly Furnished,3,2,1
218000,Segambut,Partly Furnished,3,2,1
218000,Segambut,Partly Furnished,3,2,1
218000,Segambut,Partly Furnished,3,2,1
219000,Segambut,Partly Furnished,3,2,1
219000,Segambut,Partly Furnished,3,2,1
220000,Kepong,Partly Furnished,2,1,1
220000,Kepong,Partly Furnished,2,1,1
220000,Segambut,Fully Furnished,3,2,1
220000,Segambut,Fully Furnished,3,2,1
220000,Segambut,Partly Furnished,3,2,1
220000,Segambut,Partly Furnished,3,2,1
220000,Setapak,Partly Furnished,3,1,1
220000,Setapak,Partly Furnished,3,1,1
220000,Setapak,Partly Furnished,3,2,1
220000,Setapak,Partly Furnished,3,2,1
220000,Setapak,Unfurnished,3,2,1
220000,Setapak,Unfurnished,3,2,1
220000,Taman Desa,Partly Furnished,2,1,1
220000,Taman Desa,Partly Furnished,2,1,1
223000,Taman Desa,Partly Furnished,2,2,1
223000,Taman Desa,Partly Furnished,2,2,1
225000,Jinjang,Partly Furnished,3,2,1
225000,Jinjang,Partly Furnished,3,2,1
225000,Kepong,Partly Furnished,3,2,1
225000,Kepong,Partly Furnished,3,2,1
225000,Segambut,Partly Furnished,3,2,1
225000,Segambut,Partly Furnished,3,2,1
225000,Setapak,Partly Furnished,3,2,1
225000,Setapak,Partly Furnished,3,2,1
226000,Desa Petaling,Partly Furnished,3,2,1
226000,Desa Petaling,Partly Furnished,3,2,1
228000,Bukit Jalil,Unfurnished,3,2,1
228000,Bukit Jalil,Unfurnished,3,2,1
228000,Bukit Jalil,Unfurnished,3,2,1
228000,Bukit Jalil,Unfurnished,3,2,1
228000,Cheras,Partly Furnished,3,1,1
228000,Cheras,Partly Furnished,3,1,1
228000,Setapak,Partly Furnished,3,2,1
228000,Setapak,Partly Furnished,3,2,1
230000,Cheras,Unknown,3,2,1
230000,Cheras,Unknown,3,2,1
230000,Jinjang,Partly Furnished,3,2,1
230000,Jinjang,Partly Furnished,3,2,1
230000,Kepong,Fully Furnished,3,2,1
230000,Kepong,Fully Furnished,3,2,1
230000,Setapak,Fully Furnished,2,1,1
230000,Setapak,Fully Furnished,2,1,1
230000,Setapak,Partly Furnished,2,2,1
230000,Setapak,Partly Furnished,2,2,1
230000,Setapak,Partly Furnished,3,1,1
230000,Setapak,Partly Furnished,3,1,1
230000,Setapak,Partly Furnished,3,2,1
230000,Setapak,Partly Furnished,3,2,1
230000,Setapak,Partly Furnished,3,2,1
230000,Setapak,Partly Furnished,3,2,1
230000,Setapak,Unfurnished,3,2,1
230000,Setapak,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Wangsa Maju,Partly Furnished,2,1,1
230000,Wangsa Maju,Partly Furnished,2,1,1
235000,Ampang,Unfurnished,3,2,1
235000,Ampang,Unfurnished,3,2,1
235000,Setapak,Partly Furnished,2,1,1
235000,Setapak,Partly Furnished,2,1,1
235000,Wangsa Maju,Unfurnished,2,1,1
235000,Wangsa Maju,Unfurnished,2,1,1
238000,Cheras,Partly Furnished,3,2,1
238000,Cheras,Partly Furnished,3,2,1
